"","X","avg","med","std","max_depth","gamma","subsample","colsample_bytree"
"24",115,0.144380613993098,0.145746668868915,0.0908825886850638,10,0,0.6,0.8
"25",76,0.144733039293717,0.156468254530919,0.0895030788947398,12,4,0.6,0.6
"26",127,0.144859713929291,0.125248801698002,0.0873739914831518,10,6,0.6,0.8
"27",80,0.145009982552868,0.140279201810129,0.0940733804888449,12,6,0.6,0.6
"28",52,0.146193896575082,0.145469202820365,0.0956718778988963,12,0,0.4,0.6
"29",59,0.146299493390379,0.156574815046435,0.0970699583597172,10,4,0.4,0.6
"30",114,0.146535258612844,0.167993339006892,0.0979363043136722,8,0,0.6,0.8
"31",55,0.146645868122274,0.149871767460939,0.0933258080603744,10,2,0.4,0.6
"32",10,0.147724262243827,0.147349695622032,0.100899284871791,8,4,0.4,0.4
"33",68,0.147833120291007,0.155992697682708,0.0952356058326653,12,0,0.6,0.6
"34",144,0.148236666647157,0.120564609695628,0.0835464360864066,12,6,0.8,0.8
"35",72,0.148427163013807,0.147104278779883,0.0888806370719368,12,2,0.6,0.6
"36",63,0.148498212566116,0.136802066954867,0.0962313482853809,10,6,0.4,0.6
"37",58,0.148925231132364,0.16642218774747,0.106541185028732,8,4,0.4,0.6
"38",110,0.149535250998546,0.144286294109305,0.0979821601808328,8,6,0.4,0.8
"39",139,0.149545066743309,0.149843231075802,0.0894429555925263,10,4,0.8,0.8
"40",136,0.150335175742168,0.15990111547864,0.0843013904260861,12,2,0.8,0.8
"41",32,0.151204556515821,0.141288404020133,0.100671028316733,12,6,0.6,0.4
"42",84,0.151348616704442,0.170838982983441,0.0911230571592621,12,0,0.8,0.6
"43",118,0.151609580349562,0.168877470117876,0.0916884359709195,8,2,0.6,0.8
"44",131,0.151906711785141,0.142919626740826,0.0885030463143189,10,0,0.8,0.8
"45",4,0.152424589970816,0.136645156100866,0.104222334718465,12,0,0.4,0.4
"46",74,0.152547750431115,0.156301704595951,0.093718403441078,8,4,0.6,0.6
"47",122,0.152720763112759,0.174672903860486,0.086786631504472,8,4,0.6,0.8
"48",119,0.153499827462444,0.135450236012085,0.0860251193653322,10,2,0.6,0.8
"49",24,0.153764640915694,0.168482818320504,0.106536544166037,12,2,0.6,0.4
"50",98,0.154097389238509,0.169320841296987,0.102896410092666,8,0,0.4,0.8
"51",15,0.154220826123791,0.152583247950487,0.106727135791396,10,6,0.4,0.4
"52",95,0.154294483693743,0.157947447483431,0.0982991835706464,10,6,0.8,0.6
"53",126,0.154371584180069,0.150713443885956,0.0983864526830834,8,6,0.6,0.8
"54",138,0.154411851147538,0.135921016655397,0.103495485774769,8,4,0.8,0.8
"55",62,0.154734189683669,0.13897775622612,0.0996481822606287,8,6,0.4,0.6
"56",75,0.154836121766769,0.145734769437719,0.0974283890733633,10,4,0.6,0.6
"57",143,0.154837498736213,0.152117474104046,0.0858247510141022,10,6,0.8,0.8
"58",135,0.15484175057852,0.143668664423097,0.0985861589915832,10,2,0.8,0.8
"59",16,0.155108297578035,0.149208532474415,0.10167402945659,12,6,0.4,0.4
"60",132,0.155603024378143,0.153199112886557,0.0923745868707697,12,0,0.8,0.8
"61",134,0.155928865384843,0.145314855810132,0.0894571073953783,8,2,0.8,0.8
"62",91,0.156504664747971,0.163544624206069,0.09912007508754,10,4,0.8,0.6
"63",123,0.156530507558994,0.156766166467523,0.0790941298917617,10,4,0.6,0.8
"64",20,0.156630266308707,0.156602418266636,0.103964683676486,12,0,0.6,0.4
"65",70,0.156663653329457,0.149014342221596,0.0951442937727062,8,2,0.6,0.6
"66",140,0.156679968943291,0.147836347167074,0.0830813709751164,12,4,0.8,0.8
"67",11,0.15693214362104,0.164650552618723,0.0993369535865565,10,4,0.4,0.4
"68",54,0.157382361743126,0.174479445846264,0.103147209920807,8,2,0.4,0.6
"69",105,0.1576396542966,0.163102132211889,0.0998228133831769,6,4,0.4,0.8
"70",121,0.157916070360936,0.156879155827722,0.0994593024188404,6,4,0.6,0.8
"71",88,0.158089745260246,0.154846957592436,0.0970105771274964,12,2,0.8,0.6
"72",92,0.158112167185345,0.159685571451543,0.0905573111705165,12,4,0.8,0.6
"73",53,0.159411133625623,0.146124969587748,0.0978041913621162,6,2,0.4,0.6
"74",101,0.159493241658403,0.139141343099143,0.107174240917136,6,2,0.4,0.8
"75",83,0.15960953861249,0.158041269821087,0.0984313133427463,10,0,0.8,0.6
"76",3,0.159850555652871,0.15022129098386,0.103232727105201,10,0,0.4,0.4
"77",96,0.16004452416409,0.170836367992403,0.096947543503554,12,6,0.8,0.6
"78",97,0.16073957600198,0.138145903002887,0.108561365974998,6,0,0.4,0.8
"79",87,0.160912753230802,0.159972983542056,0.0964647802925873,10,2,0.8,0.6
"80",61,0.161116901759831,0.141940678390635,0.103921797770851,6,6,0.4,0.6
"81",7,0.161608216164269,0.175417482677607,0.120220657341201,10,2,0.4,0.4
"82",23,0.161700499206244,0.164958900662326,0.104032401144932,10,2,0.6,0.4
"83",142,0.161982679528739,0.158850337034454,0.0924669588611826,8,6,0.8,0.8
"84",35,0.162444671819602,0.179518788068236,0.101049098909555,10,0,0.8,0.4
